kappa,concentration,mu,monotonicity,seed,face_value,outside_mid_ratio,big_entity_share,delta_passive,delta_active,trading_effect,trading_relief_ratio,phi_passive,phi_active,passive_run_id,passive_status,active_run_id,active_status,dealer_total_pnl,dealer_total_return,total_trades
4,0.5,0,0,147,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_6e3f20457c2a,completed,balanced_active_c619107e43f9,completed,0.0,0.0,6
4,0.5,0.25,0,148,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_df5c6aa3af4b,completed,balanced_active_b188d5e91147,completed,0.0,0.0,7
4,0.5,0.5,0,149,20,1.0,0.25,0.9811962392478495699139827966,0.9811962392478495699139827966,0E-28,0,0.01880376075215043008601720344,0.01880376075215043008601720344,balanced_passive_d4b556f353c8,completed,balanced_active_c0401aff5ad1,completed,0.0,0.0,6
4,0.5,0.75,0,150,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_1b8a52b0acda,completed,balanced_active_2ef4b7de1093,completed,0.0,0.0,6
4,0.5,1,0,151,20,1.0,0.25,1,0.6686003867440154697606187904,0.3313996132559845302393812096,0.3313996132559845302393812096,0,0.3313996132559845302393812096,balanced_passive_ca5df75056c0,completed,balanced_active_83ed95eb83f0,completed,0.0,0.0,6
4,1,0,0,152,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_16d515817577,completed,balanced_active_b96f1a911877,completed,0.0,0.0,6
4,1,0.25,0,153,20,1.0,0.25,0.9336578210428057074276570209,0.9598613148419789305240698760,-0.0262034937991732230964128551,-0.02806541455402413768478183252,0.06634217895719429257234297906,0.04013868515802106947593012402,balanced_passive_45cbf41a9bc8,completed,balanced_active_2db43a37a956,completed,0.0,0.0,7
4,1,0.5,0,154,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_bde51efb2d0e,completed,balanced_active_815126ddaad0,completed,0.0,0.0,7
4,1,0.75,0,155,20,1.0,0.25,1,0.8983728994398506268338223526,0.1016271005601493731661776474,0.1016271005601493731661776474,0,0.1016271005601493731661776474,balanced_passive_e59a79b1026f,completed,balanced_active_459f54014b1e,completed,0.0,0.0,7
4,1,1,0,156,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_5d1a3386a5f6,completed,balanced_active_25d2cf9e9ee2,completed,0.0,0.0,7
4,2,0,0,157,20,1.0,0.25,1,1,0,0,0,0,balanced_passive_525471ad1a33,completed,balanced_active_f5ff172ba9bb,completed,0.0,0.0,6
4,2,0.25,0,158,20,1.0,0.25,1,0.8217643528705741148229645929,0.1782356471294258851770354071,0.1782356471294258851770354071,0,0.1782356471294258851770354071,balanced_passive_ac666c55ccd6,completed,balanced_active_4b3c66968ebd,completed,0.0,0.0,7
4,2,0.5,0,159,20,1.0,0.25,1,0.8471129483931190825443392452,0.1528870516068809174556607548,0.1528870516068809174556607548,0,0.1528870516068809174556607548,balanced_passive_77d018eaffa7,completed,balanced_active_c7b694b86159,completed,0.0,0.0,7
